"","x"
"onderdelen",6
"ondergaan",1
"ondergraaft",1
"ondergrond",1
"onderhandeld",2
"onderhandelen",1
"onderhandelingen",1
"onderhandelingsmaterie",1
"onderhandelingstafels",1
"onderhoud",2
"onderlaag",1
"onderling",5
"onderlinge",1
"ondermeer",1
"ondermijnen",2
"ondermijnt",4
"ondernemen",28
"ondernemen<U+2019>",1
"ondernemend",1
"ondernemende",5
"ondernemer",3
"ondernemers",21
"ondernemerschap",26
"ondernemerschapsbeleid",1
"ondernemerschapscompetenties",1
"ondernemersorganisaties",4
"ondernemersvertrouwen",1
"ondernemersvriendelijk",1
"onderneming",1
"ondernemingen",22
"ondernemingsgezind",1
"ondernemingsniveau",1
"ondernemingsplan<U+2019>",1
"ondernemingsvriendelijk",1
"ondernemingsvriendelijke",2
"ondernemingszin",2
"onderscheid",3
"ondersteund",4
"ondersteunde",1
"ondersteunen",13
"ondersteunend",1
"ondersteunende",1
"ondersteuning",24
"ondersteuningsbeleid",1
"ondersteuningsbronnen",1
"ondersteuningsnood",2
"ondersteuningsplaats",1
"ondersteuningsregeling",1
"ondersteunt",4
"ondertussen",2
"onderuit",3
"ondervertegenwoordigd",1
"ondervertegenwoordiging",1
"onderweg",1
"onderwijs",81
"onderwijsaanbod",12
"onderwijsaanbod<U+2019>",1
"onderwijsactoren",1
"onderwijsbehoeften",1
"onderwijsdoelstellingen",1
"onderwijskansen",1
"onderwijsmodel",1
"onderwijsmotor",2
"onderwijsniveaus",1
"onderwijspartners",1
"onderwijstijd",1
"onderwijstraject",1
"onderwijsverandering",1
"onderwijswereld",1
"onderzoek",10
"onderzoeken",1
"onderzoekers",3
"onderzoekscentra",1
"onderzoeksinfrastructuur",2
"onderzoeksinstellingen",1
"oneer",1
"oneigenlijke",1
"onele",1
"ongeacht",3
"ongekwalificeerd",1
"ongekwalificeerde",1
"ongelijkheid",2
"ongeschoold",1
"ongevallen",2
"ongevalpreventie",1
"ongeveer",4
"ongewilde",1
"ongunstige",1
"onkostenvergoedingen",1
"onlangs",1
"online",1
"onlinehandel",1
"onlosmakelijk",1
"onlyonceprincipe",1
"onmiddellijke",1
"onmisbare",1
"onmiskenbaar",1
"onmogelijk",2
"onomwonden",1
"onontbeerlijk",3
"onontgonnen",1
"onophoudelijk",1
"onpas",1
"onproductieve",1
"ontbinding",1
"ontdekken",1
"ontdubbeld",1
"ontgonnen",2
"ontgroening",1
"onthaald",1
"ontlopen",1
"ontmoedigen",1
"ontoereikend",1
"ontplooien",3
"ontraden",1
"ontslag",1
"ontslagen",1
"ontslagpremies",1
"ontslagrecht",1
"ontsluiting",7
"ontspannen",2
"ontspanning",1
"ontspanningsmogelijkheid",1
"ontsporing",1
"ontspruiten",1
"ontstaan",2
"ontstaat",1
"ontwikkeld",1
"ontwikkelen",20
"ontwikkeling",17
"ontwikkelingen",1
"ontwikkelingsgericht",1
"ontwikkelingskansen",1
"ontwikkelt",2
"ontwrichte",1
"ontzien",1
"onveiligheid",1
"onverkort",4
"onvermijdelijk",1
"onverminderd",2
"onvervulde",1
"onvoldoende",6
"onvolle",1
"onvoorziene",1
"onze",98
"onzekerheid",1
"oog",4
"ooinstrumenten",1
"ooit",8
"oorsprong",1
"oorzaken",3
"oostelijke",1
"oosterweelverbinding",1
"oostvlaanderen",4
"opbouw",5
"opbrengst",1
"opbrengsten",1
"opbrengt",1
"opdat",5
"opdoen",2
"opdracht",10
"opdrachten",3
"opdrachtenpakket",1
"opeisen",1
"open",15
"openbaar",14
"openbare",8
"opent",2
"opera",1
"operatie",1
"opgaan",1
"opgebouwd",2
"opgebouwde",1
"opgebruikt",1
"opgeleide",1
"opgelopen",1
"opgemaakt",1
"opgenomen",3
"opgericht",1
"opgesomd",1
"opgesteld",1
"opgetrokken",1
"opgeven",1
"opgroeien",1
"opgroeit",1
"ophalen",1
"opkomende",1
"opleiding",17
"opleidingen",5
"opleidingsbeleid",1
"opleidingsen",1
"opleidingsinstituut",1
"opleidingsniveau",1
"opleidingsniveaus",1
"opleidingstrajecten",1
"opleidingsvorm",1
"opleveren",6
"oplevert",5
"oplijsten",2
"oplopende",1
"oplossing",1
"oplossingen",11
"opmaak",1
"opname",2
"opnames",3
"opneemt",1
"opnemen",1
"opnieuw",5
"oppashulp",1
"oppervlaktes",1
"opportuniteit",1
"opportuun",1
"opslag",1
"opsporing",1
"opsporingsdiensten",1
"opstap",1
"opstellen",1
"optelsom",2
"optie",2
"opties",1
"optimaal",5
"optimale",4
"optimalisatie",1
"optimaliseren",4
"optreden",3
"opvallend",1
"opvang",5
"opvangen",2
"opvangmogelijkheden",1
"opvangplaats",1
"opvoeding",3
"opvoedingsondersteuning",1
"opvoedingsre",1
"opvoedingsverantwoordelijken",1
"opvoeren",2
"opvolging",5
"opvragen",1
"opvraging",1
"opwaarderen",2
"opwarming",1
"opwekking",1
"opzegtermijnen",2
"opzegvergoeding",1
"opzichte",4
"orde",9
"ordening",4
"orgaan",1
"organisatie",6
"organisaties",4
"organisatorische",2
"organiseert",1
"organiseren",4
"ori<U+00EB>ntatieproeven",1
"ori<U+00EB>nteren",1
"orthopedagogen",1
"ottignies",1
"oude",3
"oudegem",1
"ouder",4
"ouderbijdrage",1
"oudere",6
"ouderen",8
"ouderenbeleid",1
"ouderenzorg",13
"ouders",7
"ouderschap",1
"ouderverenigingen",1
"outplacement",1
"overaanbod",1
"overblijvende",1
"overbruggen",1
"overbruggingsmaatregelen",1
"overdracht",1
"overeen",1
"overeind",2
"overgang",5
"overgangsperiode",1
"overgedragen",1
"overgehevelde",1
"overgekomen",1
"overgemaakt",1
"overheden",11
"overheid",65
"overheidsagentschappen",1
"overheidsbudgetten",1
"overheidsdiensten",4
"overheidsimpulsen",1
"overheidsinformatie",4
"overheidsinvesteringen",2
"overheidsmiddelen",1
"overheidsniveau",1
"overheidsniveaus",1
"overheidsoptreden",1
"overheidspapier",1
"overheidsschuld",3
"overheidswaarborg",1
"overheidswaarborgen",1
"overheveling",3
"overhouden",2
"overige",3
"overkwalificatie",1
"overlappingen",2
"overlapt",1
"overlast",1
"overleg",42
"overlegmodel",2
"overlegstructuren",1
"overleven",1
"overname",2
"overschot",1
"overschrijden",1
"overslagmogelijkheden",3
"overstapmogelijkheden",2
"overstappen",1
"overstijgt",3
"overstromingen",1
"overtreffen",1
"overtuigd",3
"overtuigen",1
"overtuiging",1
"overuren",5
"overwegen",1
"overweging",1
"overzichtelijk",1
"paars",1
"paarse",1
"paarsgroen",1
"paarsgroene",1
"pact",13
"pad",1
"pakken",3
"paper",1
"papieren",1
"paradigma",3
"parallelwegen",1
"parameters",1
"parcours",1
"paritair",1
"parkeergelegenheid",1
"parkeerproblemen",1
"parlement",2
"parlementslid",1
"participatie",5
"participatiefonds",6
"participatiemaatschappij",1
"partij",12
"partners",19
"partnerschappen",2
"pas",4
"passen",4
"passend",1
"passende",2
"past",2
"pathologie",1
"pati",1
"pati<U+00EB>nt",8
"pati<U+00EB>ntbewoner",1
"pati<U+00EB>nten",2
"pati<U+00EB>ntgericht",1
"patient",1
"pech",1
"pedagogische",1
"peeters",3
"peil",3
"pendelverkeer",1
"pensioen",13
"pensioenbedragen",1
"pensioenberekening",2
"pensioenen",5
"pensioenhervorming",1
"pensioenleeftijd",2
"pensioenloopbaan",1
"pensioenopbouw",2
"pensioenrechten",3
"pensioenregimes",1
"per",14
"percentage",1
"peren",1
"perfect",1
"performant",1
"performante",4
"periferie",1
"periode",7
"periodes",3
"periodieke",1
"permanent",2
"permanente",3
"personeel",5
"personeelsbeleid",1
"personeelsleden",2
"personeelslid",1
"personen",17
"personenbelasting",8
"personenbelastingen",1
"personenwagens",1
"persoon",3
"persoonlijk",1
"persoonlijke",3
"persoonsgebonden",1
"persoonsgerichte",1
"persoonsvolgend",2
"persoonsvolgende",6
"perspectief",2
"peterschapsprojecten",1
"pieken",1
"piekproject",1
"pijler",2
"pijlers",2
"pijnlijke",1
"pilootprojecten",1
"pilot",1
"piramide",1
"pisa",1
"plaats",29
"plaatsen",2
"plafond",1
"plafonds",1
"plan",25
"planaanvraag",1
"planeet",1
"plank",1
"plannen",6
"planning",4
"plantaardige",1
"plantje",1
"plants",1
"platform",1
"platteland",2
"pleegden",1
"pleegzorg",1
"pleit",2
"pleiten",3
"plek",1
"plicht",4
"plichten",2
"plichtingen",1
"plotse",1
"plukken",1
"pluspunten",1
"plussers",2
"pmv",4
"politici",1
"politie",1
"politiek",5
"politieke",4
"pols",1
"pool",1
"poolen",1
"poorten",2
"populariteit",1
"populatie",1
"portaal",2
"positie",4
"positief",6
"positieve",2
"potenti<U+00EB>le",1
"potentials",1
"potentieel",2
"pps",1
"ppsformules",1
"ppsprojecten",1
"prachtige",1
"praktijk",3
"praktijken",3
"praktijkgericht",1
"praktijkgerichte",1
"praktijksituatie",1
"praktisch",1
"praten",1
"precair",1
"precisielandbouw",1
"preferenti<U+00EB>le",1
"premie",10
"premieaanvraag",1
"premies",2
"premiestelsel",1
"presentatie",1
"presenteren",2
"prestatiefinanciering",1
"prestaties",4
"presteert",1
"preventie",5
"preventie<U+2026>",1
"preventiebeleid",3
"preventief",1
"preventieprotocollen",1
"preventieve",3
"prijs",3
"prijsevoluties",1
"prijsvolume",1
"prijzen",1
"primeren",1
"principe",2
"principes",1
"prioritair",2
"prioriteit",4
"prioriteiten",4
"priv<U+00E9>klinieken",1
"priv<U+00E9>ondernemingen",1
"privaat",1
"privacy",1
"private",5
"proactief",1
"proactieve",2
"problematiek",1
"problematische",1
"problemen",6
"procedurele",1
"procedures",4
"procent",2
"procentuele",2
"proces",4
"procesoplossingen",1
"procesvernieuwing",1
"producenten",2
"producten",9
"productie",6
"productiefactoren",1
"productiemethoden",1
"productiemodel",1
"productieprocessen",2
"productietechnologie",1
"productievolumes",1
"productiviteit",5
"productiviteitssprongen",1
"productkorf",1
"productontwikkeling",3
"proefproject",1
"professi",1
"professionalisering",1
"professionaliseringstrajecten",1
"professioneel",1
"professionele",4
"professionelen",2
"profit",2
"programma",1
"progressief",1
"progressiviteit",1
"project",7
"projecten",10
"projectmatig",1
"projectontwikkelaars",1
"prominente",1
"promoten",2
"promotie",2
"prosumenten",1
"provinciaal",1
"provinciale",1
"provincie",6
"provinciefonds",1
"psychiatrie",2
"psychiatrische",2
"psychisch",1
"psychische",1
"psychologen",1
"psychologische",1
"psychosociale",1
"psychotherapeuten",1
"publieke",2
"publiekprivate",1
"punt",4
"punten",2
"puursdendermonde",1
"pwa<U+2019>s",1
"quasi",1
"raad",5
"raakvlakken",1
"radicale",1
"raken",3
"rand",2
"randvoorwaarden",4
"rankings",1
"rapport",1
"rbis",1
"re<U+00EB>le",4
"reactieve",1
"reageren",1
"real",1
"realisatie",4
"realisaties",2
"realiseren",8
"realisme",1
"realistisch",6
"realistische",1
"realiteit",2
"realiteitsbetrokken",1
"recent",3
"recente",3
"recht",14
"rechten",9
"rechteroever",1
"rechtstreeks",6
"rechtstreekse",1
"rechtszeker",1
"rechtszekerheid",5
"rechtvaardig",5
"rechtvaardige",15
"rechtvaardiger",1
"rechtvaardigheid",2
"rechtzeker",2
"record",1
"recordbedrag",1
"recordjaar",1
"recreatief",1
"recreatiemogelijkheden",1
"recurrent",1
"recyclagetechnologie",1
"redelijke",4
"reden",5
"redenen",1
"reduceren",2
"referentiecentra",1
"referentiejaar",1
"referentieterugbetaling",1
"regeerakkoord",1
"regeerperiode",3
"regel",1
"regelgeving",9
"regeling",1
"regelluw",1
"regelluwte",1
"regels",2
"regering",25
"regeringen",2
"regie",2
"regiefunctie",1
"regietaak",1
"regime",1
"regio",8
"regio<U+2019>s",6
"regionaal",2
"regionale",7
"regisseert",1
"regisseur",3
"regressie",3
"regularisatie",2
"regulariseren",1
"regularisering",1
"regulator",1
"reguliere",1
"reiken",1
"reisweg",1
"reizen",1
"reiziger",2
"reizigers",1
"rekenen",5
"rekening",18
"rekeningrijden",5
"rekrutering",1
"relance",12
"relatie",2
"relevant",1
"relevante",2
"rem",1
"remedi<U+00EB>ren",1
"remedi<U+00EB>ring",1
"remmen",2
"ren",2
"rend",1
"rendabel",1
"rendement",1
"renovatie",3
"renovatiepremie",1
"renovatiewerken",1
"rente",3
"rentmeesters",1
"rentmeesterschap",2
"reorganisatie",1
"reparatiewetgeving",1
"representatief",1
"representativiteit",1
"reserveringen",1
"residenti<U+00EB>le",10
"resoluut",1
"respect",9
"respecteert",1
"respecteren",4
"respectievelijk",1
"respijtzorg",2
"responsabiliseren",1
"responsabilisering",1
"ressorteerden",1
"rest",2
"resterende",2
"restgebied",1
"restwarmte",1
"resultaat",4
"resultaatsgerichte",1
"resultaten",10
"revalidatie",3
"revalidatieaanbod",1
"richten",3
"richting",3
"richtlijnen",2
"rij",1
"rijden",2
"rijk",1
"rijkdom",4
"rijn",2
"rijopleiding",1
"rijp",1
"ring",4
"ringstructuren",1
"rioleringswerken",1
"risico",5
"risico<U+2019>s",5
"risicobeheersing",1
"risicokapitaal",4
"risicoloos",1
"robuust",1
"rode",2
"roer",1
"roerende",1
"rol",13
"rompslomp",1
"rond",14
"rondes",1
"routenetwerk",2
"royersluis",1
"rsz",1
"rug",1
"ruggengraat",1
"ruil",1
"ruim",4
"ruimere",1
"ruimschoots",1
"ruimte",17
"ruimtelijke",5
"rup<U+2019>s",1
"rustpauzes",2
"salaris",1
"salk",3
"samen",28
"samenbrengen",2
"samengaan",1
"samengesteld",2
"samenhang",1
"samenhangend",3
"samenleggen",2
"samenleving",32
"samenlevingsvormen",1
"samenspraak",1
"samenstellen",1
"samenstelling",2
"samenvoegen",1
"samenwerken",5
"samenwerking",32
"samenwerkingsakkoord",1
"samenwerkingsakkoorden",1
"samenwerkingsverbanden",1
"samenwonen",2
"samenwonende",1
"sanctionering",2
"sas",1
"scandinavische",1
"schaal",3
"schaalvergroting",3
"schaarste",3
"schaden",1
"schaffen",1
"schakelen",1
"schakels",2
"schakelt",1
"schaliegas",1
"schatkist",1
"schatten",2
"scheiding",1
"scheidingslijnen",1
"scheikundige",1
"scheppen",1
"scherper",1
"scholen",16
"scholenbouw",2
"scholingsgraad",1
"school",14
"schoolbanken",3
"schoolbesturen",3
"schoolgebouwen",1
"schoolkeuze",2
"schoolkinderen",1
"schoolloopbaanbegeleiding",1
"schoolteams",1
"schoolverlaters",3
"schoot",1
"schotten",2
"schouders",1
"schragen",1
"schrijven",1
"schuiven",2
"schuldgraad",2
"schumanjosafat",1
"science",1
"screening",1
"sector",22
"sectorcontroles",1
"sectoren",18
"secundair",8
"seinescheldeverbinding",1
"selectief",1
"selectiviteit",1
"semiindustri<U+00EB>le",1
"senaat",3
"senatoren",1
"senioren",3
"seniorleerkrachten",1
"sensibiliseren",1
"sensibilisering",3
"serv",1
"servpartners",1
"sfeer",1
"shelter",1
"shift",2
"shift<U+2019>",3
"ship",1
"shipproject",1
"shoppingcentrum",1
"significant",1
"significante",1
"sinds",4
"singapore",1
"sintniklaas",1
"sinttruiden",1
"siod",1
"situatie",5
"situaties",2
"slaagkans",1
"slaagkansen",1
"slag",4
"slagen",5
"slagkracht",1
"slechte",1
"slechtere",1
"slechts",3
"sleutelcompetenties",1
"sleuteldomeinen",1
"sleutels",2
"slim",8
"slimme",32
"sloop",1
"slot",3
"sloten",1
"slotte",3
"sluipverkeer",2
"sluis",3
"sluit",1
"sluiten",6
"smart",6
"smeermiddel",1
"snel",10
"snelheid",1
"snelheidsaanpassing",1
"snelle",3
"sneller",6
"snellere",1
"sneltramlijn",1
"snelwegen",2
"snijden",1
"sociaal",45
"sociaalcontextueel",1
"sociaaleconomisch",13
"sociaaleconomische",3
"social",3
"sociale",205
"socialezekerheidsinstellingen",1
"socialezekerheidsrecht",1
"socioeconomische",1
"sokkelstatuut",1
"soldenprijzen",1
"solidair",4
"solidaire",1
"solidariteit",1
"sommige",6
"sommigen",1
"soms",3
"spaarboekje",1
"spaarders",2
"spaarfiscaliteit",1
"spaargeld",1
"spaargelden",1
"spaarrichtlijn",1
"speakers<U+2019>",1
"speciale",1
"specialisatiestrategie",1
"specificiteit",1
"specifiek",1
"specifieke",9
"speelt",3
"speerpunt",1
"speerpuntprojecten",1
"spelen",5
"spelers",4
"spelregels",1
"spieren",1
"spinofffondsen",1
"spinoffs",1
"spinouts",1
"spitsmomenten",1
"spitsstroken",1
"spontane",1
"spoor",3
"spoorbundels",1
"spooren",1
"spoorinfrastructuur",2
"spoormannen",1
"spoorontsluiting",1
"spooroperatoren",1
"spoorverbinding",1
"spoorvervoer",2
"spoorwegstrategie",1
"sporen",5
"sport",11
"sporten",1
"sporthallen",1
"sportieve",1
"sportvelden",1
"spreiden",1
"spreiding",2
"springen",2
"springplank",1
"sprong",2
"staan",13
"staat",26
"staathervorming",1
"staatshervorming",37
"staatshervormingen",1
"staatsmodel",1
"staatsstructuur",2
"staatstructuur",3
"stabiel",4
"stabiele",4
"stabilisatoren",2
"stabiliteit",8
"stad",4
"stadia",1
"stadium",1
"stadsbesturen",1
"stage",3
"stageplaatsen",1
"stages",8
"stagevormen",1
"stagiairs",1
"stakeholderbeleid",2
"stakeholders",1
"stakeholdersbeleid",1
"stampen",1
"stand",5
"standaardisering",1
"stap",13
"stappen",5
"stapsgewijs",1
"start",2
"starten",8
"startende",3
"starters",8
"startpositie",1
"state",2
"statistische",1
"statuten",2
"statuut",10
"ste",2
"stedelijke",1
"steden",1
"stedenbouwkundige",1
"stedenfonds",1
"steeds",5
"steek",1
"steenbruggebrug",1
"steevast",1
"stegen",1
"stellen",16
"stelsel",9
"stelselmatig",1
"stelsels",2
"stelt",5
"stem",2
"stemactieplan",1
"stembeleid",1
"stemberoepen",1
"stemmen",8
"stenen",1
"sterk",21
"sterke",11
"sterken",1
"sterker",5
"sterkere",4
"sterkst",1
"sterkste",1
"sterkte",1
"sterktes",3
"sterrebeek",1
"sterrenrestaurant",1
"steun",2
"steunen",3
"steunmaatregelen",3
"steunt",3
"steuntje",1
"stevenen",1
"stevig",4
"stevige",1
"stijgen",2
"stijgende",2
"stijging",8
"stijgt",2
"stillere",1
"stimulans",3
"stimulansen",3
"stimule",1
"stimuleer",1
"stimuleert",4
"stimuleren",27
"stimulerende",2
"stimulering",1
"stimuli",3
"stipt",1
"stiptheidscijfers",1
"stof",1
"stopt",1
"stormweer",1
"straat",1
"straffen",1
"strategie",4
"strategische",4
"straten",2
"streefcijfer",2
"streefcijfers",1
"streeft",4
"streek",3
"streven",5
"strijd",16
"strikt",1
"strikte",2
"stroom",1
"stroomproductie",1
"structureel",4
"structurele",4
"structuren",1
"structuurhervormingen",1
"studenten",3
"studentenarbeid",1
"studeren",1
"studie",2
"studiekeuze",1
"studiekeuzeproces",1
"studierichtingen",1
"studies",2
"studietoelagen",4
"stuiten",1
"stuk",1
"sturing",1
"stutten",1
"stuurbare",1
"su<U+00EF>cidepreventie",1
"suben",1
"subsidariteitsbeginsel",1
"subsidi<U+00EB>ren",1
"subsidi<U+00EB>ring",2
"subsidiariteit",1
"subsidiebeleid",3
"subsidies",3
"substantieel",2
"succes",2
"succesvolle",5
"superspecialisatie",1
"superspecialistische",1
"sve",1
"switchgedrag",1
"synergie",1
"syntravlaanderen",2
"systeem",15
"systematisch",2
"systematische",1
"systemen",3
"taak",2
"taakafspraken",1
"taakbelasting",1
"taal",1
"taalaanbod",1
"taaldrempel",1
"taalopleiding",1
"taalvoordeel",1
"tabak",1
"taken",2
"takenpakket",1
"taksen",1
"tal",1
"talen",4
"talent",5
"talenten",8
"talrijke",7
"tandje",1
"tangent",1
"tarief",4
"tarieven",2
"tarievenbeleid",2
"tast",1
"tasten",1
"tax",3
"team",1
"teams",2
"teamvorming",1
"techniek",2
"technisch",3
"technische",3
"technologie",2
"technologie<U+00EB>n",2
"technologieattach<U+00E9>s",1
"technologiedomeinen",1
"technologies",1
"technologisch",1
"technologische",7
"technology",1
"tegelijk",6
"tegelijkertijd",3
"tegemoetkoming",5
"tegemoetkomingen",5
"tegengaan",1
"tegenover",4
"tegenprestatie",1
"tegenstelling",1
"tekort",3
"telden",1
"telewerken",1
"telkens",8
"teloorgang",1
"telt",2
"ten",35
"ter",9
"terecht",6
"terechtkomt",1
"termijn",16
"terneuzen",2
"terrassentaks",1
"terrein",3
"terreinen",1
"terug",6
"terugbetaalbaar",1
"terugbetaling",2
"terugdringen",2
"teruggebracht",2
"teruggedrongen",1
"terugkeren",1
"terugtreden",2
"terwijl",2
"testen",1
"teveel",1
"tevoren",2
"tewerk",1
"tewerkstelling",10
"tewerkstellingsbeleid",1
"tewerkstellingsmogelijkheden",1
"textielbedrijven",1
"thab",1
"the",1
"thema<U+2019>s",1
"thematische",1
"theorie",1
"theorie<U+00EB>n",1
"therapeutische",2
"thuis",4
"thuismarkt",2
"thuistaal",1
"thuiszorg",7
"ticketintegratie",2
"tielt",1
"tien",4
"tihange",1
"tijd",10
"tijde",1
"tijdelijk",1
"tijdelijke",8
"tijden",3
"tijdens",11
"tijdig",3
"tijdje",1
"tijdrovende",3
"tijdskrediet",1
"tijdsnood",1
"tijdstip",1
"tijdswinst",1
"til",1
"time",1
"tinafonds",1
"tjesland",1
"toe",23
"toegang",13
"toegangspoorten",1
"toegankelijk",6
"toegankelijke",4
"toegankelijker",2
"toegankelijkere",1
"toegankelijkheid",8
"toegekend",1
"toegenomen",3
"toegepast",1
"toegevoegde",1
"toegewezen",1
"toekennen",1
"toekenning",2
"toekomst",28
"toekomstgerichte",1
"toekomstige",3
"toekomstvisie",1
"toelaat",2
"toelaten",3
"toeleiding",2
"toeleveranciers",1
"toename",7
"toenames",1
"toeneemt",2
"toenemen",4
"toenemende",6
"toepassen",3
"toepassing",1
"toepassingen",7
"toepassingsgebied",2
"toepassingsperiode",1
"toerisme",8
"toeristische",5
"toeslag",1
"toeslagen",1
"toets",2
"toetsen",1
"toeval",1
"toewijzen",1
"toezicht",1
"toezichtskader",1
"together",1
"tolereren",1
"tolrichtlijn",1
"ton",1
"tonen",2
"tongeren",1
"toonaangevend",1
"toont",2
"top",3
"topkwaliteit",1
"toppers",2
"toppositie",1
"topprioriteit",1
"topsport",1
"toptalenten",1
"totaal",1
"totaalpakket",1
"totaalvisie",1
"totale",1
"tour<U+2019>",1
"tour<U+2019>bezoek",1
"trac<U+00E9>",1
"track",1
"trade",6
"traditie",1
"traditioneel",1
"traditionele",2
"traject",3
"trajectbegeleiding",3
"trajecten",7
"tram",1
"tramlijn",1
"tramnetwerk",1
"tramprojecten",2
"tramverbindingen",3
"tramverlenging",1
"transactiekosten",1
"transacties",2
"transformatie",9
"transformatiepact",2
"transformaties",1
"transformeren",1
"transparant",6
"transparante",2
"transparanter",2
"transparantie",3
"transport",3
"transportbelastingen",6
"transportdeskundigen",1
"transportnetwerk",1
"transportsystemen",1
"transversale",1
"trappen",2
"treden",3
"treffen",1
"trein",1
"treinen",1
"trekken",5
"trekker",1
"trekt",1
"triple",1
"troeven",2
"trok",2
"trots",3
"trouw",2
"tunnel",1
"tussen",66
"tussenbeide",1
"tussenkomst",1
"tussenliggende",1
"twee",7
"tweede",12
"tweedeling",1
"tweejaarlijkse",1
"tweerichtingsverkeer",1
"tweeverdieners",1
"types",1
"typevoorschriften",1
"uitbouw",8
"uitbouwen",2
"uitbreiden",6
"uitbreiding",5
"uitbreidingen",1
"uitbreidingsbeleid",1
"uitdagen",1
"uitdaging",2
"uitdagingen",12
"uitdoven",1
"uitdrukkelijk",1
"uiteenlopende",1
"uiteindelijk",3
"uiteraard",4
"uiterlijk",1
"uitgaan",3
"uitgangspunt",4
"uitgangspunten",5
"uitgaven",16
"uitgavengroei",1
"uitgavennorm",1
"uitgebalanceerd",1
"uitgebouwd",1
"uitgebreid",3
"uitgebreide",1
"uitgegeven",1
"uitgelegd",1
"uitgelezen",1
"uitgeput",1
"uitgestelde",1
"uitgevoerd",3
"uitkering",11
"uitkeringen",3
"uitkomt",1
"uitmaakt",1
"uitmaken",5
"uitmonden",1
"uitmunten",2
"uitoefenen",2
"uitrol",2
"uitrollen",1
"uitrusting",1
"uitsluitend",1
"uitspelen",1
"uitstaande",1
"uitstek",2
"uitstel",1
"uitstoot",2
"uitstroom",1
"uittrede",1
"uittreders",1
"uittreding",4
"uitvoerbestemmingen",1
"uitvoerdocumenten",1
"uitvoeren",5
"uitvoering",14
"uitwaaiering",1
"uitwerken",1
"uitwerking",1
"uitwisselen",1
"uitwisseling",2
"uitwisselingsprogramma<U+2019>s",1
"uitzondering",1
"uitzonderingen",1
"uitzonderingsregimes",1
"uk<U+2019>",1
"unie",1
"uniek",1
"unieke",3
"uniforme",2
"universele",1
"universiteiten",3
"uptodate",1
"uren",1
"urencontingent",1
"urgentieopvang",1
"uurforfait",1
"vaak",17
"vacatures",1
"vaccinatie",1
"vaders",1
"vak",1
"vakantie",1
"vakbekwame",1
"vaker",2
"vakkundig",1
"vakmanschap",1
"validatie",1
"valideren",1
"valley",2
"valorem",1
"valorisatie",1
"valt",1
"vanaf",7
"vandaag",19
"vangnet",2
"vanop",1
"vanuit",6
"vanwege",1
"vanzelfsprekend",4
"vari<U+00EB>ren",1
"varianten",1
"varkensvlees",1
"vast",4
"vaste",2
"vastgelegd",1
"vastgesteld",1
"vasthouden",1
"vaststellen",1
"vaststelling",2
"vaststellingen",1
"vaten",2
"vdab",11
"veelbelovend",1
"veeleer",1
"veevoedersector",1
"veilig",8
"veilige",7
"veiligere",1
"veiligheid",8
"veiligheidscertificaten",1
"veiligstellen",1
"vele",3
"vennootschapsbelasting",4
"ver",2
"veraf",1
"veralgemeend",1
"veralgemenen",2
"veranderen",2
"veranderende",1
"verandering",3
"veranderingen",3
"verandert",4
"verankerd",1
"verankerde",1
"verankering",2
"verant",1
"verantwoorde",1
"verantwoordelijk",2
"verantwoordelijkheid",12
"verantwoordelijkheidszin",1
"verantwoorden",1
"verantwoording",1
"verband",2
"verbeterd",4
"verbeterde",2
"verbeteren",8
"verbetering",2
"verbeteringspremie",1
"verbeteringspremies",1
"verbeterpunten",1
"verbetert",1
"verbinden",1
"verbinding",4
"verbindingen",1
"verbintenis",1
"verbintenissen",2
"verblijf",1
"verbonden",3
"verbreed",2
"verbruiken",1
"verbruiker",1
"verbruikers",1
"verdedigen",1
"verdeeld",1
"verdeelplaatsen",1
"verdelen",1
"verdeling",1
"verder",9
"verdere",6
"verdiende",1
"verdienen",2
"verdient",2
"verdieping",1
"verdrag",1
"verdubbelde",1
"verdunt",1
"verdwijnen",3
"vereenvoudigd",3
"vereenvoudigen",7
"vereenvoudiging",5
"vereenvoudigingstraject",1
"vereisen",2
"vereist",15
"vereiste",3
"verenigd",1
"verenigingen",5
"verenigingslokalen",1
"verergering",1
"vergaderingen",1
"vergelijkbaar",1
"vergelijkbare",1
"vergelijkend",1
"vergelijking",4
"vergemakkelijken",3
"vergemakkelijkt",1
"vergen",3
"vergoeden",2
"vergoeding",1
"vergrijzende",2
"vergrijzing",12
"vergroot",3
"vergrootglas",1
"vergroten",2
"vergt",9
"vergunning",4
"vergunningen",1
"vergunningsplichtige",2
"verhaal",4
"verhogen",12
"verhoging",3
"verhogingen",2
"verhoogd",1
"verhoogde",2
"verhoogt",1
"verhouding",5
"verhoudingen",1
"verhoudingsgewijs",1
"verhuizen",1
"verhuurkantoren",1
"verkeer",3
"verkeerde",1
"verkeers",1
"verkeersbelasting",1
"verkeersdoden",4
"verkeersdrukte",1
"verkeersfiscaliteit",1
"verkeersgedrag",1
"verkeershinder",1
"verkeersingrepen",1
"verkeersleefbaarheid",1
"verkeersmanagement",2
"verkeersopvoeding",1
"verkeersslachtoffer",1
"verkeersstromen",1
"verkeersveiligheid",8
"verkeersveiligheidsbeleid",2
"verkennen",1
"verkiezen",1
"verkiezingsprogramma",4
"verklaard",1
"verklaarde",1
"verklaart",2
"verkleinen",2
